title	commentCount	dislikeCount	likeCount	music_style	performer	viewCount	commentators_uniq	comments_obscene_cnt	video_age
LENINGRAD — Polnie karmani	0.0	5.0	12.0	rock	ленинград	8598.0			3068
LENINGRAD — Prognoz pogodi	1.0	1.0	10.0	rock	ленинград	4927.0			3068
LENINGRAD — Pussytalker (LiVE @ Sziget festival 12.08.2012)	21.0	6.0	249.0	rock	ленинград	29250.0	16.0	7.0	2399
LENINGRAD — Rock 'N' Roll Star (LiVE @ Sziget festival 12.08.2012)	23.0	4.0	291.0	rock	ленинград	26983.0	22.0	3.0	2399
LENINGRAD — Ruki iz karmanov	0.0	2.0	20.0	rock	ленинград	10789.0			3068
LENINGRAD — Shou-biznes	1.0	7.0	9.0	rock	ленинград	7019.0	1.0	0.0	3068
LENINGRAD — Showbiz /encore (LiVE @ Sziget festival 12.08.2012)	18.0	4.0	289.0	rock	ленинград	27902.0	16.0	3.0	2398
LENINGRAD — Summer (LiVE @ Sziget festival 12.08.2012)	8.0	3.0	169.0	rock	ленинград	17867.0	7.0	0.0	2399
LENINGRAD — Sweet Dream (LiVE @ Sziget festival 12.08.2012)	27.0	12.0	357.0	rock	ленинград	55973.0	23.0	5.0	2399
LENINGRAD — Terminator	5.0	6.0	25.0	rock	ленинград	17057.0	5.0	0.0	3068
LENINGRAD — Turboboy (LiVE @ Sziget festival 12.08.2012)	32.0	32.0	512.0	rock	ленинград	74384.0	28.0	3.0	2399
LENINGRAD — Two women (LiVE @ Sziget festival 12.08.2012)	19.0	5.0	336.0	rock	ленинград	25240.0	19.0	0.0	2399
LENINGRAD — WWW (LiVE @ Sziget festival 12.08.2012)	16.0	6.0	243.0	rock	ленинград	36530.0	15.0	1.0	2399
LENINGRAD — When there is no money (LiVE @ Sziget festival 12.08.2012)	14.0	9.0	279.0	rock	ленинград	39675.0	13.0	0.0	2399
LES ANGES CLIP - Gilles Luka feat Nyusha - Plus près	5.0	20.0	176.0	popsa	нюша	131775.0	5.0	0.0	2975
LIL MORTY & PHARAOH - ГЛУШИТЕЛЬ (prod. by LAPI)	2506.0	4567.0	40978.0	rap	pharaon	1793226.0	1525.0	349.0	470
LITTLE BIG & РУКИ ВВЕРХ! - СЛЭМЯТСЯ ПАЦАНЫ	12737.0	23675.0	414089.0	popsa	руки_вверх	11818860.0	958.0	48.0	83
LIVE! Ростов-на-Дону 05.10.17 Белый ад и Ледяной дождь. Отрывки.	78.0	22.0	461.0	rock	кипелов	13892.0	37.0	4.0	523
LIVE: 10 лет Noize MC / Новогодняя ночь на MTV	13.0	9.0	350.0	rap	noizemc	31217.0	12.0	0.0	1903
LOBODA & Barskih. Пресс конференция в Полтаве.	3.0	4.0	23.0	popsa	loboda	10060.0	1.0	0.0	3072
LOBODA & Макс Барских - Твои глаза / Туманы (МУЗ ТВ 2017)	301.0	719.0	6106.0	popsa	loboda	1364752.0	174.0	0.0	642
LOBODA -  Гастролеры	0.0	0.0	24.0	popsa	loboda	2371.0			2325
"LOBODA - ""40 Градусов"" (""Нравится""), 2012"	8.0	2.0	84.0	popsa	loboda	18934.0	6.0	0.0	2331
"LOBODA - ""40 Градусов"" (Рождественские встречи 2013)"	4.0	1.0	49.0	popsa	loboda	5188.0	4.0	0.0	2254
"LOBODA - ""40 Градусов"" ТИЗЕР 2"	13.0	3.0	84.0	popsa	loboda	17109.0	13.0	0.0	2333
"LOBODA - ""40 Градусов"". Рождественские Встречи 2013. FULL VERSION"	71.0	38.0	1023.0	popsa	loboda	235735.0	58.0	1.0	2247
"LOBODA - ""40 градусов"" (Нравится), ТИЗЕР"	21.0	22.0	353.0	popsa	loboda	121593.0	19.0	0.0	2351
"LOBODA - ""Rolling in the Deep"" (Машина времени - 06.12.2013)"	12.0	30.0	203.0	popsa	loboda	28451.0	10.0	1.0	1922
"LOBODA - ""Голос Дети"". Каток"	3.0	3.0	41.0	popsa	loboda	5458.0	2.0	0.0	2264
"LOBODA - ""Город под запретом"" (GPz)"	39.0	59.0	1518.0	popsa	loboda	253862.0	35.0	2.0	1813
LOBODA - 40 Градусов (Big Love Show 2013)	0.0	0.0	25.0	popsa	loboda	2764.0			2218
LOBODA - 40 Градусов (Live) (Донецк. Концерт)	8.0	3.0	31.0	popsa	loboda	8086.0	5.0	0.0	2279
LOBODA - 40 Градусов (Making Of)	5.0	7.0	205.0	popsa	loboda	32385.0	5.0	0.0	2120
LOBODA - 40 Градусов (Soundcheck)	1.0	0.0	31.0	popsa	loboda	2638.0	1.0	0.0	2228
LOBODA - 40 Градусов (acoustic version)	7.0	2.0	92.0	popsa	loboda	8655.0	4.0	0.0	2185
LOBODA - 40 Градусов (Новый год на Муз-ТВ 2012-2013)	3.0	3.0	57.0	popsa	loboda	15086.0	3.0	0.0	2241
LOBODA - 40 Градусов (Нравится)	136.0	416.0	4702.0	popsa	loboda	2021436.0	108.0	0.0	2306
LOBODA - 40 Градусов (Первая реальная премия Music Box)	4.0	5.0	124.0	popsa	loboda	16276.0	4.0	0.0	1940
LOBODA - 40 Градусов. 20 Лучших Песен - Красная Звезда (Первый канал)	8.0	10.0	175.0	popsa	loboda	25771.0	6.0	0.0	1894
LOBODA - 40 Градусов. Церемония награждения ФАУ	139.0	204.0	3340.0	popsa	loboda	1038131.0	94.0	1.0	2194
LOBODA - 40 градусов (Шоу «Красное или черное»)	17.0	7.0	165.0	popsa	loboda	35356.0	16.0	0.0	2291
LOBODA - 40 градусов! (Crimea Music Fest-2012)	7.0	4.0	102.0	popsa	loboda	59925.0	7.0	0.0	1308
LOBODA - 40ºC (Official Remix) Viva! Самые красивые 2012	1.0	1.0	24.0	popsa	loboda	2382.0	1.0	0.0	2194
LOBODA - 40ºC, Official Remix (Alex Ortega & Ivan Demsoff Remix)	28.0	5.0	394.0	popsa	loboda	58487.0	18.0	0.0	2233
LOBODA - 9 мая! Десятый Наш Десантный Батальон!	0.0	3.0	71.0	popsa	loboda	6318.0			2118
LOBODA - Be My Valentine / Спасибо (live)	0.0	0.0	8.0	popsa	loboda	1444.0			2670
LOBODA - Big Love Show 2018 [Backstage]	46.0	109.0	779.0	popsa	loboda	101647.0	41.0	0.0	396
LOBODA - Concert! Сады Победы. Афиша	0.0	1.0	8.0	popsa	loboda	973.0			2297
LOBODA - H2LO  [Премьера альбома]	104.0	148.0	2137.0	popsa	loboda	286776.0	87.0	1.0	720
LOBODA - Happy New Year (ABBA cover)	4.0	15.0	58.0	popsa	loboda	9724.0	4.0	0.0	2636
LOBODA - INSTADRAMA [AUDIO]	1289.0	5021.0	51659.0	popsa	loboda	16087651.0	632.0	11.0	123
LOBODA - INSTADRAMA [Премьера клипа, 2019]	1887.0	4552.0	36013.0	popsa	loboda	4951104.0			29
LOBODA - InstaDrama [Teaser]	153.0	145.0	2039.0	popsa	loboda	570333.0	89.0	1.0	87
LOBODA - LIVE SHOW «H2LO» 8 марта в 22:20 на Интере (Анонс)	26.0	110.0	554.0	popsa	loboda	252640.0	22.0	0.0	377
LOBODA - Oblaka (Ivan Demsoff, Burzhuy Remix)	4.0	8.0	129.0	popsa	loboda	36773.0	2.0	0.0	2499
LOBODA - Oblaka (t.m. remix)	1.0	3.0	32.0	popsa	loboda	3955.0	1.0	0.0	2480
LOBODA - Radmir, concert. Начало	3.0	1.0	20.0	popsa	loboda	3718.0	3.0	0.0	2291
LOBODA - Radmir, concert. Не маче	1.0	1.0	16.0	popsa	loboda	1742.0	1.0	0.0	2291
LOBODA - Rolling In The Deep (ADELE cover)	71.0	740.0	482.0	popsa	loboda	186734.0	51.0	1.0	2580
LOBODA - Stereoplaza. live show ' NACHALO'	8.0	4.0	122.0	popsa	loboda	12358.0	8.0	0.0	1962
LOBODA - SuperSTAR  [Audio]	6385.0	34707.0	147961.0	popsa	loboda	50721888.0	898.0	25.0	277
LOBODA - SuperSTAR  [Teaser Clip]	340.0	424.0	5670.0	popsa	loboda	811561.0	232.0	2.0	238
LOBODA - SuperSTAR (promo-teaser)	976.0	9764.0	19083.0	popsa	loboda	4114174.0	605.0	5.0	283
LOBODA - SuperSTAR (Премия МУЗ-ТВ 2018)	243.0	251.0	3972.0	popsa	loboda	426898.0	169.0	1.0	247
LOBODA - SuperSTAR [Promo-teaser Making of]	277.0	439.0	4321.0	popsa	loboda	689336.0	177.0	5.0	280
LOBODA - SuperSTAR [Официальное видео]	16932.0	55382.0	267366.0	popsa	loboda	36094251.0	928.0	43.0	220
LOBODA - club Лица. 40ºC	1.0	1.0	16.0	popsa	loboda	1619.0	1.0	0.0	2208
LOBODA - club Лица. Постой, мущина	0.0	1.0	14.0	popsa	loboda	919.0			2207
"LOBODA - concert, ""5 Element"""	0.0	0.0	16.0	popsa	loboda	1906.0			2371
LOBODA - online	26.0	25.0	298.0	popsa	loboda	24573.0	15.0	2.0	1647
LOBODA - promo Джельсамино. 40 Градусов. Msk	7.0	1.0	29.0	popsa	loboda	5291.0	7.0	0.0	2289
LOBODA - Але, Директор!? (анонс 4)	0.0	1.0	4.0	popsa	loboda	1413.0			2337
LOBODA - Але, директор (выпуск 2)	9.0	7.0	60.0	popsa	loboda	12367.0	7.0	0.0	2348
LOBODA - Але, директор!? (Выпуск 7)	1.0	0.0	6.0	popsa	loboda	2484.0	1.0	0.0	2312
LOBODA - Але, директор!? (ролик)	0.0	0.0	1.0	popsa	loboda	1099.0			2345
"LOBODA - Без меня (Шоу ''Одна семья'' /""Одна родина""/) (Интер) (08.12.2013)"	4.0	5.0	43.0	popsa	loboda	6496.0	5.0	0.0	1914
LOBODA - Большой сольный концерт. 2 января. Интер.	4.0	2.0	51.0	popsa	loboda	10012.0	4.0	0.0	1904
LOBODA - Вези меня в TSARSKY. Мечты сбываются.	14.0	70.0	507.0	popsa	loboda	86613.0	13.0	0.0	1071
LOBODA - Весна (VV cover)	16.0	19.0	171.0	popsa	loboda	32476.0	14.0	0.0	2573
LOBODA - Вечер памяти Николая Мозгового	18.0	5.0	221.0	popsa	loboda	33278.0	15.0	1.0	2438
LOBODA - Видеочат со звездой на МУЗ-ТВ	3.0	3.0	39.0	popsa	loboda	3713.0	2.0	0.0	1919
LOBODA - Голос Дети. Finish!	1.0	0.0	25.0	popsa	loboda	4319.0	1.0	0.0	2235
LOBODA - Город Под Запретом (GPz) - «Песня Года 2013»	7.0	2.0	159.0	popsa	loboda	66687.0	7.0	0.0	1897
LOBODA - Город под запретом (GPz)	202.0	245.0	4747.0	popsa	loboda	2026506.0	168.0	3.0	1935
LOBODA - Два веселых гуся (Lady Gaga COVER)	2.0	25.0	74.0	popsa	loboda	21717.0	2.0	0.0	3018
LOBODA - Дворец Спорта [Киев - 08. 03. 2017] (LIVE)	227.0	158.0	2028.0	popsa	loboda	213444.0	113.0	6.0	728
"LOBODA - Десятый наш десантный батальон (Концерт ""Победа. Одна на всех"", ИНТЕР)"	156.0	134.0	2972.0	popsa	loboda	279984.0	104.0	0.0	1038
LOBODA - До свидания, мальчики (Победа. Одна на всех)	69.0	35.0	1700.0	popsa	loboda	232417.0	54.0	0.0	1402
LOBODA - Женщина- преступница (Облака)	420.0	1270.0	2925.0	popsa	loboda	1220556.0	238.0	19.0	2562
LOBODA - Женщина- преступница (Облака)	7.0	7.0	131.0	popsa	loboda	26704.0	238.0	19.0	1281
LOBODA - Женщина-преступница! Трейлер.	3.0	0.0	28.0	popsa	loboda	10019.0	3.0	0.0	2568
LOBODA - Жить Легко	2.0	3.0	26.0	popsa	loboda	5263.0	2.0	0.0	2854
"LOBODA - Журавли (Концерт ""Победа. Одна на всех"", ИНТЕР)"	443.0	370.0	8246.0	popsa	loboda	853299.0	317.0	1.0	1038
LOBODA - Инстаграм (Отрывок)	181.0	152.0	3672.0	popsa	loboda	301292.0	142.0	0.0	398
LOBODA - К ЧЕРТУ ЛЮБОВЬ	5259.0	19086.0	128791.0	popsa	loboda	78237274.0	1006.0	28.0	1118
LOBODA - К черту любовь (Big Love Show 2016)	138.0	77.0	1670.0	popsa	loboda	560973.0	92.0	1.0	1122
LOBODA - К черту любовь («Кохана, ми вбиваємо дітей», 29.12.2015)	25.0	22.0	485.0	popsa	loboda	144477.0	15.0	0.0	1168
LOBODA - К черту любовь (Премия «ВЫСШАЯ ЛИГА»)	148.0	250.0	3063.0	popsa	loboda	994097.0	105.0	2.0	806
LOBODA - К черту любовь (ТИЗЕР)	42.0	118.0	562.0	popsa	loboda	186308.0	31.0	2.0	1134
LOBODA - К черту любовь. MAKING OF	19.0	9.0	422.0	popsa	loboda	51761.0	15.0	0.0	1081
LOBODA - К чёрту любовь («Поверь в мечту!» 31.12.2015)	693.0	1319.0	14431.0	popsa	loboda	5741099.0	479.0	19.0	1168
LOBODA - К чёрту любовь (Танцы. Битва сезонов)	175.0	178.0	9756.0	popsa	loboda	1235283.0	108.0	3.0	1038
LOBODA - Кохана	190.0	173.0	2890.0	popsa	loboda	602212.0	145.0	2.0	1976
LOBODA - Кохана (Live, «Живи в Украине», 24.08.13)	26.0	6.0	273.0	popsa	loboda	32808.0	26.0	0.0	2024
LOBODA - Кохана (Концерт памяти Николая Мозгового, 1+1)	10.0	15.0	327.0	popsa	loboda	28647.0	9.0	0.0	955
LOBODA - Крыса-ревность (Творческий вечер Григория Лепса) [Фестиваль ЖАРА]	93.0	246.0	2348.0	popsa	loboda	223643.0	75.0	1.0	558
LOBODA - Крыса-ревность [AUDIO]	157.0	675.0	3947.0	popsa	loboda	854449.0	115.0	0.0	564
LOBODA - Лети (OST «Гоголь. Вий») [Teaser]	62.0	124.0	1164.0	popsa	loboda	248697.0	52.0	0.0	349
LOBODA - Лети (OST «Гоголь. Вий») [Официальное видео]	2057.0	6966.0	79626.0	popsa	loboda	23318800.0	912.0	13.0	334
LOBODA - Лети [Сингл]	792.0	2200.0	26666.0	popsa	loboda	7487513.0	711.0	1.0	348
"LOBODA - Мишка ""Свiтське життя ""Золотий капелюх"""	2.0	4.0	15.0	popsa	loboda	3270.0	2.0	0.0	2627
LOBODA - Мишка, гадкий мальчишка	3.0	11.0	59.0	popsa	loboda	19344.0	3.0	0.0	2856
LOBODA - НЕ НУЖНА (Тизер, 2015)	11.0	6.0	202.0	popsa	loboda	49425.0	11.0	0.0	1491
LOBODA - На Свете (15 лет ИНТЕРу)	0.0	2.0	19.0	popsa	loboda	3500.0			2663
LOBODA - На Свете (Jazz Version)	2.0	5.0	53.0	popsa	loboda	9142.0	2.0	0.0	2531
LOBODA - На Свете (Ti.M original mix)	396.0	969.0	5937.0	popsa	loboda	8002717.0	291.0	7.0	2702
LOBODA - На Свете (Ti.M. Original Mix) HD	12.0	6.0	174.0	popsa	loboda	83597.0	11.0	0.0	2791
LOBODA - На Свете (live)	39.0	37.0	637.0	popsa	loboda	326898.0	33.0	2.0	2745
LOBODA - На Свете (Шустер LIVE)	0.0	3.0	29.0	popsa	loboda	4110.0			2686
LOBODA - Начало (Live @ BONO Beach Club)	4.0	3.0	32.0	popsa	loboda	4868.0	4.0	0.0	2070
LOBODA - Не нужна	296.0	522.0	12730.0	popsa	loboda	2936379.0	204.0	3.0	1446
LOBODA - Не нужна (аудио)	27.0	35.0	1125.0	popsa	loboda	344488.0	23.0	0.0	1603
LOBODA - Нежность (23 февраля в большом городе)	11.0	9.0	162.0	popsa	loboda	19163.0	11.0	0.0	2210
LOBODA - Нежность (backstage)	16.0	13.0	558.0	popsa	loboda	74016.0	14.0	1.0	2202
LOBODA - Нікому то не треба (Скрябін. Концерт пам'яті)	13.0	16.0	559.0	popsa	loboda	168729.0	11.0	0.0	1381
LOBODA - ОАЭ 2013	4.0	1.0	40.0	popsa	loboda	5424.0	4.0	0.0	2246
LOBODA - ОБЛАКА (Crimea Music Fest 2012)	2.0	4.0	52.0	popsa	loboda	11589.0	2.0	0.0	2385
LOBODA - ОБЛИШ -(тизер)-	3.0	13.0	180.0	popsa	loboda	44037.0	3.0	0.0	1245
LOBODA - Облака	254.0	294.0	4252.0	popsa	loboda	1451595.0	296.0	6.0	2540
LOBODA - Облака	97.0	234.0	1647.0	popsa	loboda	1077783.0	296.0	6.0	2583
LOBODA - Облака (M1, live)	12.0	14.0	61.0	popsa	loboda	25918.0	11.0	0.0	2535
LOBODA - Облака (VIVA! live)	63.0	27.0	423.0	popsa	loboda	155724.0	31.0	0.0	2565
LOBODA - Облака-  Новая Волна 2012 (Юрмала)	4.0	3.0	61.0	popsa	loboda	17951.0	3.0	0.0	2422
LOBODA - Облиш («Кохана, ми вбиваємо дітей», 29.12.2015)	20.0	34.0	291.0	popsa	loboda	114358.0	11.0	0.0	1169
"LOBODA - ПРЕМИЯ ТЕЛЕТРИУМФ "" 40 Градусов"""	1.0	3.0	34.0	popsa	loboda	2834.0	1.0	0.0	2286
LOBODA - Парень (DJ Antonio Remix)	139.0	341.0	3969.0	popsa	loboda	490614.0	105.0	1.0	405
LOBODA - Парень (Премия «Жара» 2018)	387.0	795.0	7234.0	popsa	loboda	1731767.0	250.0	2.0	252
LOBODA - Парень [AUDIO]	654.0	4836.0	18760.0	popsa	loboda	6948071.0	494.0	13.0	466
LOBODA - Парень [Making of]	126.0	239.0	2168.0	popsa	loboda	354751.0	94.0	2.0	381
LOBODA - Партийная зона. Муз-ТВ	4.0	1.0	59.0	popsa	loboda	6052.0	4.0	0.0	2143
LOBODA - Под Лед	102.0	212.0	1624.0	popsa	loboda	404166.0	104.0	1.0	2089
LOBODA - Под Лед	23.0	35.0	213.0	popsa	loboda	43041.0	104.0	1.0	2097
LOBODA - Под Лед (Remake)	175.0	112.0	2708.0	popsa	loboda	1031801.0	148.0	2.0	2044
LOBODA - Под Лед (Трейлер)	17.0	12.0	92.0	popsa	loboda	16829.0	15.0	0.0	2100
LOBODA - Пора домой	189.0	865.0	5757.0	popsa	loboda	4015715.0	105.0	4.0	1399
LOBODA - Пора домой (Dj Antonio Remix)	35.0	164.0	1908.0	popsa	loboda	414806.0	28.0	1.0	1310
LOBODA - Пора домой (Мисс Украина 2015)	41.0	47.0	725.0	popsa	loboda	174437.0	25.0	0.0	1262
LOBODA - Пора домой (Поверь в мечту! 31.12.2015)	29.0	37.0	512.0	popsa	loboda	137855.0	25.0	1.0	1168
LOBODA - Пора домой (ТИЗЕР, 2015)	7.0	136.0	155.0	popsa	loboda	149344.0	6.0	0.0	1400
LOBODA - Прогон «Под Лед»	2.0	4.0	57.0	popsa	loboda	11655.0	2.0	0.0	2145
LOBODA - Промо STEREOplaza (Киев, 25.10.13)	20.0	71.0	142.0	popsa	loboda	32785.0	18.0	0.0	1983
LOBODA - РЕВОЛЮЦИЯ (Live show ко Дню Независимости Украины)	3.0	6.0	56.0	popsa	loboda	62266.0	1.0	0.0	1308
LOBODA - РЕВОЛЮЦИЯ! С 21.09.2010.	0.0	2.0	29.0	popsa	loboda	27014.0			3100
LOBODA - Революция	110.0	112.0	1640.0	popsa	loboda	402317.0	45.0	0.0	3082
LOBODA - Революция	1.0	5.0	32.0	popsa	loboda	9679.0	45.0	0.0	2856
LOBODA - Революция (INTER live)	36.0	44.0	575.0	popsa	loboda	279678.0	28.0	1.0	3025
LOBODA - Революция (LIVE)	0.0	4.0	15.0	popsa	loboda	6535.0			3072
LOBODA - Революция (Live, «Живи в Украине», 24.08.13)	8.0	2.0	127.0	popsa	loboda	13917.0	7.0	0.0	2024
LOBODA - Революция (Remake live)	12.0	5.0	79.0	popsa	loboda	20735.0	12.0	0.0	2745
LOBODA - Революция (трейлер клипа)	7.0	6.0	45.0	popsa	loboda	49889.0	6.0	0.0	3111
LOBODA - Революция [Making Of]	12.0	20.0	315.0	popsa	loboda	94401.0	11.0	0.0	3088
LOBODA - Сердце Бьется	3.0	7.0	44.0	popsa	loboda	30260.0	3.0	0.0	2856
"LOBODA - Скрипач на крыше (""Раймонд Паулс. Святая к музыке любовь"")"	224.0	221.0	2695.0	popsa	loboda	438018.0	165.0	0.0	1100
LOBODA - Скрябін. Нiкому то не треба (Львов)	0.0	5.0	619.0	popsa	loboda	57348.0			1354
LOBODA - Случайная (Звезды Русского Радио 2017)	99.0	182.0	2248.0	popsa	loboda	334712.0	83.0	2.0	675
LOBODA - Случайная [Making of]	165.0	270.0	4406.0	popsa	loboda	427436.0	136.0	2.0	611
LOBODA - Спасибо	26.0	192.0	936.0	popsa	loboda	396365.0	21.0	0.0	2883
LOBODA - Спасибо (Live @ Харьков, НК «Bolero»)	0.0	1.0	22.0	popsa	loboda	1458.0			2107
LOBODA - Спасибо (Шустер LIVE Piano version)	6.0	5.0	53.0	popsa	loboda	17259.0	6.0	0.0	2824
LOBODA - Твои Глаза (MAKING OF)	76.0	125.0	1566.0	popsa	loboda	260991.0	70.0	0.0	811
"LOBODA - Твои Глаза, Пора домой, Под снегом (ИНТЕР-""Остаемся зимовать"")"	302.0	482.0	3450.0	popsa	loboda	928920.0	154.0	0.0	801
LOBODA - Твои глаза [AUDIO]	789.0	2712.0	19936.0	popsa	loboda	7186259.0	489.0	17.0	919
LOBODA - Твои глаза [ТИЗЕР]	24.0	63.0	452.0	popsa	loboda	218641.0	18.0	0.0	899
LOBODA - концерт  в Кишенёве	117.0	147.0	1179.0	popsa	loboda	331053.0	83.0	1.0	1303
"LOBODA - о семье, работе, Виа Гре, проекте ""Голос. Дети"""	5.0	6.0	75.0	popsa	loboda	15261.0	5.0	0.0	2296
"LOBODA - презентация клипа ""40 Градусов"". MSK. Видеоотчет"	1.0	0.0	20.0	popsa	loboda	4151.0	1.0	0.0	2282
"LOBODA - тур "" Под запретом "". Донецк, Луганск"	5.0	4.0	71.0	popsa	loboda	18669.0	4.0	0.0	1808
LOBODA - шоу «Пора домой». Анонс	4.0	2.0	72.0	popsa	loboda	29491.0	3.0	0.0	1172
LOBODA Live Show (30.08) - ОДЕССА	0.0	3.0	20.0	popsa	loboda	3405.0			1658
LOBODA Photo Shooting Backstage	1.0	5.0	53.0	popsa	loboda	4650.0			2026
"LOBODA Presents ""Nachalo"" Msc, video"	5.0	0.0	55.0	popsa	loboda	8695.0	4.0	0.0	2452
LOBODA Web-конференция (12.05.2014)	1.0	3.0	36.0	popsa	loboda	8454.0	1.0	0.0	1766
"LOBODA feat EMIN ""Смотришь в небо"""	144.0	294.0	5205.0	popsa	loboda	1582388.0	115.0	0.0	1757
LOBODA feat. EMIN - Смотришь в небо(Remake)	14.0	9.0	206.0	popsa	loboda	32082.0	13.0	0.0	1611
LOBODA soundtrack «ПОСЛЕДНИЙ ГЕРОЙ»	303.0	538.0	6982.0	popsa	loboda	657046.0			9
LOBODA vs Football - What about U (E. 2012)	304.0	397.0	2464.0	popsa	loboda	1831666.0	232.0	13.0	2467
LOBODA Харьков Arizona	0.0	4.0	510.0	popsa	loboda	100155.0			1375
"LOBODA в ""Пусть Говорят"""	12.0	11.0	266.0	popsa	loboda	85820.0	10.0	0.0	2856
LOBODA в BONO Beach Club (Live Performance)	3.0	3.0	46.0	popsa	loboda	5728.0	3.0	0.0	2048
LOBODA в «Світське життя» (18.12.2015)	9.0	6.0	141.0	popsa	loboda	42608.0	4.0	0.0	1181
LOBODA в гостях Guten Morgen (канал M1)	0.0	2.0	18.0	popsa	loboda	2633.0			2515
LOBODA в кулинарном шоу «Время обедать!» на Первом канале	2.0	2.0	34.0	popsa	loboda	4427.0	2.0	0.0	2045
LOBODA в передаче Стол Заказов (RU TV)	3.0	1.0	18.0	popsa	loboda	2091.0			2424
LOBODA в программе «Вечір. Паша. Зорі»	2.0	0.0	15.0	popsa	loboda	2237.0	2.0	0.0	2220
LOBODA в программе «Все буде добре» (17.11.15)	29.0	27.0	583.0	popsa	loboda	122988.0	19.0	0.0	1212
LOBODA в программе «Север. Непридуманные истории» на RU.TV	57.0	78.0	928.0	popsa	loboda	105814.0	47.0	1.0	672
LOBODA в шоу Голос Страны (анонс)	2.0	0.0	10.0	popsa	loboda	1706.0	2.0	0.0	2749
"LOBODA всеукраинский тур ""Под запретом"" 2014"	3.0	1.0	38.0	popsa	loboda	7070.0	3.0	0.0	1703
LOBODA говорит о имени дочери!	3.0	1.0	83.0	popsa	loboda	22445.0	2.0	0.0	2849
LOBODA на «Летней кухне» с Дмитрием Шепелевым	2.0	4.0	85.0	popsa	loboda	10545.0	2.0	0.0	2077
LOBODA на Русском Радио	0.0	1.0	4.0	popsa	loboda	1261.0			2776
LOBODA разбила Rolls-Royce Рhantom (Backstage Случайная)	177.0	597.0	1410.0	popsa	loboda	329513.0	147.0	13.0	689
LOBODA — «Dolce Vita» | Египет 24.08.2016	4.0	13.0	58.0	popsa	loboda	10180.0	3.0	0.0	931
LOBODA — День Рождения [18.10.2016 | Николаев]	21.0	27.0	304.0	popsa	loboda	46815.0	16.0	0.0	876
LOBODA — Парень [Официальное видео]	4869.0	26163.0	97693.0	popsa	loboda	44825096.0	918.0	27.0	413
LOBODA — Случайная [AUDIO]	1318.0	5330.0	40569.0	popsa	loboda	18300517.0	876.0	7.0	733
LOBODA — Случайная [TEASER]	56.0	81.0	1104.0	popsa	loboda	171830.0	51.0	0.0	657
LOBODA — Случайная [Официальное видео]	6066.0	26798.0	163510.0	popsa	loboda	72268223.0	900.0	29.0	638
LOBODA — Стерва — Часть #1 [ВИРУС]	63.0	136.0	996.0	popsa	loboda	172139.0	52.0	1.0	701
LOBODA — Танцую волосами — Часть #3 [ВИРУС]	32.0	64.0	731.0	popsa	loboda	100694.0	28.0	0.0	687
LOBODA — Твои Глаза	17279.0	67254.0	241276.0	popsa	loboda	132015566.0	895.0	58.0	855
LOBODA — Твои Глаза [DJ Antonio Extended REMIX]	96.0	234.0	3331.0	popsa	loboda	627743.0	75.0	0.0	849
LOBODA — Твои глаза — Часть #5 [ВИРУС]	17.0	95.0	362.0	popsa	loboda	63847.0	16.0	0.0	659
LOBODA — Твои глаза. Творческий вечер Константина Меладзе	329.0	439.0	4051.0	popsa	loboda	1175929.0	208.0	11.0	794
LOBODA — Текила-любовь — Часть #2 [ВИРУС]	31.0	89.0	471.0	popsa	loboda	92297.0	28.0	0.0	695
LOBODA — Текила-любовь. Творческий вечер Константина Меладзе	793.0	1021.0	19945.0	popsa	loboda	5354506.0	527.0	4.0	794
LOBODA — Убей меня — Часть #4 [ВИРУС]	25.0	60.0	490.0	popsa	loboda	61744.0	23.0	0.0	673
LOBODA, IBIZA (Live show) 17.08.14	0.0	3.0	33.0	popsa	loboda	4370.0			1673
LOBODA, Итака 10.07.15	3.0	8.0	556.0	popsa	loboda	78065.0	3.0	0.0	1340
LOBODA- Але, директор!?	1.0	3.0	39.0	popsa	loboda	6885.0	1.0	0.0	2354
LOBODA- Без меня тебе любимый мой (И.Резник)	117.0	154.0	2269.0	popsa	loboda	440068.0	79.0	1.0	2391
"LOBODA- Концерт на ""Донбасс Арене"""	25.0	15.0	213.0	popsa	loboda	68329.0	16.0	2.0	2498
LOBODA- ОБЛИШ ( Тизер 2 )	7.0	7.0	123.0	popsa	loboda	63837.0	5.0	0.0	1238
LOBODA- репортаж	0.0	1.0	10.0	popsa	loboda	602.0			2228
LOBODA. 1й прогон Революции на Крым Мьюзик Фест!	0.0	0.0	11.0	popsa	loboda	1890.0			2698
LOBODA. Club Freedom (8 Марта)	2.0	2.0	25.0	popsa	loboda	5014.0	2.0	0.0	2194
LOBODA. FREEDOM. CONCERT	2.0	0.0	29.0	popsa	loboda	1686.0	2.0	0.0	2221
LOBODA. Palladium. Concert	0.0	1.0	22.0	popsa	loboda	1813.0			2191
LOBODA. Stepping Out	2.0	0.0	18.0	popsa	loboda	1557.0	2.0	0.0	2226
LOBODA. Голос.Діти. Анонс 2	0.0	0.0	8.0	popsa	loboda	2421.0			2314
LOBODA. Дворец Украина (29.11.15) - БИС	14.0	28.0	171.0	popsa	loboda	50287.0	12.0	0.0	1200
LOBODA. Донецк. НК Лица	0.0	0.0	17.0	popsa	loboda	1965.0			2213
