Symbol	Security	SEC filings	GICS Sector	GICS Sub Industry	Headquarters Location	Date first added	CIK	Founded	S&P-500	NASDAQ	DJI
HLT	Hilton Worldwide Holdings Inc	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Tysons Corner, Virginia	19.06.17	1585689.0	1919	True	False	False
HOLX	Hologic	reports	Health Care	Health Care Equipment	Marlborough, Massachusetts	30.03.16	859737.0	1985	True	False	False
HON	Honeywell Int'l Inc.	reports	Industrials	Industrial Conglomerates	Morristown, New Jersey	31.03.64	773840.0	1906	True	False	False
HPE	Hewlett Packard Enterprise	reports	Information Technology	Technology Hardware, Storage & Peripherals	Palo Alto, California	02.11.15	1645590.0	2015	True	False	False
HPQ	HP Inc.	reports	Information Technology	Technology Hardware, Storage & Peripherals	Palo Alto, California	31.12.74	47217.0	2015	True	False	False
HRB	H&R Block	reports	Consumer Discretionary	Specialized Consumer Services	Kansas City, Missouri	30.11.86	12659.0	1955	True	False	False
HRL	Hormel Foods Corp.	reports	Consumer Staples	Packaged Foods & Meats	Austin, Minnesota	04.03.09	48465.0	1891	True	False	False
HSIC	Henry Schein	reports	Health Care	Health Care Distributors	Melville, New York	17.03.15	1000228.0	1932	True	False	False
HST	Host Hotels & Resorts	reports	Real Estate	Hotel & Resort REITs	Bethesda, Maryland	20.03.07	1070750.0	1993	True	False	False
HSY	The Hershey Company	reports	Consumer Staples	Packaged Foods & Meats	Hershey, Pennsylvania	04.03.57	47111.0	1894	True	False	False
HUM	Humana Inc.	reports	Health Care	Managed Health Care	Louisville, Kentucky		49071.0	1961	True	False	False
HWM	Howmet Aerospace	reports	Industrials	Aerospace & Defense	New York, New York	31.03.64	4281.0	2016	True	False	False
IBM	International Business Machines	reports	Information Technology	IT Consulting & Other Services	Armonk, New York	04.03.57	51143.0	1911	True	False	True
ICE	Intercontinental Exchange	reports	Financials	Financial Exchanges & Data	Atlanta, Georgia	26.09.07	1571949.0	2000	True	False	False
IDXX	IDEXX Laboratories	reports	Health Care	Health Care Equipment	Westbrook, Maine	05.01.17	874716.0	1983	True	True	False
IEX	IDEX Corporation	reports	Industrials	Industrial Machinery	Lake Forest, Illinois	09.08.19	832101.0	1988	True	False	False
IFF	International Flavors & Fragrances	reports	Materials	Specialty Chemicals	New York, New York	31.03.76	51253.0	1889	True	False	False
ILMN	Illumina Inc	reports	Health Care	Life Sciences Tools & Services	San Diego, California	19.11.15	1110803.0	1998	True	True	False
INCY	Incyte	reports	Health Care	Biotechnology	Wilmington, Delaware	28.02.17	879169.0	1991	True	True	False
INFO	IHS Markit Ltd.	reports	Industrials	Research & Consulting Services	London, United Kingdom	02.06.17	1598014.0	1959	True	False	False
INTC	Intel Corp.	reports	Information Technology	Semiconductors	Santa Clara, California	31.12.76	50863.0	1968	True	True	True
INTU	Intuit Inc.	reports	Information Technology	Application Software	Mountain View, California	05.12.00	896878.0	1983	True	True	False
IP	International Paper	reports	Materials	Paper Packaging	Memphis, Tennessee	04.03.57	51434.0	1898	True	False	False
IPG	Interpublic Group	reports	Communication Services	Advertising	New York, New York	01.10.92	51644.0	1930	True	False	False
IPGP	IPG Photonics Corp.	reports	Information Technology	Electronic Manufacturing Services	Oxford, Massachusetts	07.03.18	1111928.0	1990	True	False	False
IQV	IQVIA Holdings Inc.	reports	Health Care	Life Sciences Tools & Services	Durham, North Carolina	29.08.17	1478242.0	1982	True	False	False
IR	Ingersoll Rand	reports	Industrials	Industrial Machinery	Milwaukee, Wisconsin	03.03.20	1699150.0	1859	True	False	False
IRM	Iron Mountain Incorporated	reports	Real Estate	Specialized REITs	Boston, Massachusetts	06.01.09	1020569.0	1951	True	False	False
ISRG	Intuitive Surgical Inc.	reports	Health Care	Health Care Equipment	Sunnyvale, California	02.06.08	1035267.0	1995	True	True	False
IT	Gartner Inc	reports	Information Technology	IT Consulting & Other Services	Stamford, Connecticut	05.04.17	749251.0	1979	True	False	False
ITW	Illinois Tool Works	reports	Industrials	Industrial Machinery	Glenview, Illinois	28.02.86	49826.0	1912	True	False	False
IVZ	Invesco Ltd.	reports	Financials	Asset Management & Custody Banks	Atlanta, Georgia	21.08.08	914208.0	1935	True	False	False
J	Jacobs Engineering Group	reports	Industrials	Construction & Engineering	Dallas, Texas	26.10.07	52988.0	1947	True	False	False
JBHT	J. B. Hunt Transport Services	reports	Industrials	Trucking	Lowell, Arkansas	01.07.15	728535.0	1961	True	False	False
JCI	Johnson Controls International	reports	Industrials	Building Products	Cork, Ireland	27.08.10	833444.0	1885	True	False	False
JD	JD.com								False	True	False
JKHY	Jack Henry & Associates	reports	Information Technology	Data Processing & Outsourced Services	Monett, Missouri	13.11.18	779152.0	1976	True	False	False
JNJ	Johnson & Johnson	reports	Health Care	Pharmaceuticals	New Brunswick, New Jersey	30.06.73	200406.0	1886	True	False	True
JNPR	Juniper Networks	reports	Information Technology	Communications Equipment	Sunnyvale, California	02.06.06	1043604.0	1996	True	False	False
JPM	JPMorgan Chase & Co.	reports	Financials	Diversified Banks	New York, New York	30.06.75	19617.0	1871	True	False	True
K	Kellogg Co.	reports	Consumer Staples	Packaged Foods & Meats	Battle Creek, Michigan		55067.0	1906	True	False	False
KEY	KeyCorp	reports	Financials	Regional Banks	Cleveland, Ohio	01.03.94	91576.0	1825	True	False	False
KEYS	Keysight Technologies	reports	Information Technology	Electronic Equipment & Instruments	Santa Rosa, California	06.11.18	1601046.0	2014	True	False	False
KHC	Kraft Heinz Co	reports	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois; Pittsburgh, Pennsylvania	06.07.15	1637459.0	1869	True	True	False
KIM	Kimco Realty	reports	Real Estate	Retail REITs	New Hyde Park, New York	04.04.06	879101.0		True	False	False
KLAC	KLA Corporation	reports	Information Technology	Semiconductor Equipment	Milpitas, California		319201.0	1975	True	True	False
KMB	Kimberly-Clark	reports	Consumer Staples	Household Products	Irving, Texas	04.03.57	55785.0	1872	True	False	False
KMI	Kinder Morgan	reports	Energy	Oil & Gas Storage & Transportation	Houston, Texas	25.05.12	1506307.0	1997	True	False	False
KMX	Carmax Inc	reports	Consumer Discretionary	Specialty Stores	Richmond, Virginia	28.06.10	1170010.0	1993	True	False	False
KO	Coca-Cola Company	reports	Consumer Staples	Soft Drinks	Atlanta, Georgia	04.03.57	21344.0	1886	True	False	True
KR	Kroger Co.	reports	Consumer Staples	Food Retail	Cincinnati, Ohio	04.03.57	56873.0	1883	True	False	False
KSS	Kohl's Corp.	reports	Consumer Discretionary	General Merchandise Stores	Menomonee Falls, Wisconsin		885639.0	1962	True	False	False
KSU	Kansas City Southern	reports	Industrials	Railroads	Kansas City, Missouri	24.05.13	54480.0	1887	True	False	False
L	Loews Corp.	reports	Financials	Multi-line Insurance	New York, New York		60086.0		True	False	False
LB	L Brands Inc.	reports	Consumer Discretionary	Apparel Retail	Columbus, Ohio	30.09.83	701985.0	1963	True	False	False
LBTYA	Liberty Global (Class A)								False	True	False
LBTYK	Liberty Global (Class C)								False	True	False
LDOS	Leidos Holdings	reports	Information Technology	IT Consulting & Other Services	Reston, Virginia	09.08.19	1336920.0	1969	True	False	False
LEG	Leggett & Platt	reports	Consumer Discretionary	Home Furnishings	Carthage, Missouri		58492.0	1883	True	False	False
LEN	Lennar Corp.	reports	Consumer Discretionary	Homebuilding	Miami, Florida	04.10.05	920760.0	1954	True	False	False
LH	Laboratory Corp. of America Holding	reports	Health Care	Health Care Services	Burlington, North Carolina	01.11.04	920148.0	1978	True	False	False
LHX	L3Harris Technologies	reports	Industrials	Aerospace & Defense	Melbourne, Florida		202058.0	1895	True	False	False
LIN	Linde plc	reports	Materials	Industrial Gases	Guildford, Surrey, United Kingdom	01.07.92	1707925.0	1879	True	False	False
LKQ	LKQ Corporation	reports	Consumer Discretionary	Distributors	Chicago, Illinois	23.05.16	1065696.0	1998	True	False	False
LLY	Lilly (Eli) & Co.	reports	Health Care	Pharmaceuticals	Indianapolis, Indiana	31.12.70	59478.0	1876	True	False	False
LMT	Lockheed Martin Corp.	reports	Industrials	Aerospace & Defense	Bethesda, Maryland	31.07.84	936468.0	1995	True	False	False
LNC	Lincoln National	reports	Financials	Multi-line Insurance	Radnor, Pennsylvania	30.06.76	59558.0	1905	True	False	False
LNT	Alliant Energy Corp	reports	Utilities	Electric Utilities	Madison, Wisconsin	01.07.16	352541.0	1917	True	False	False
LOW	Lowe's Cos.	reports	Consumer Discretionary	Home Improvement Retail	Mooresville, North Carolina	29.02.84	60667.0	1904	True	False	False
LRCX	Lam Research	reports	Information Technology	Semiconductor Equipment	Fremont, California	29.06.12	707549.0	1980	True	True	False
LULU	Lululemon Athletica								False	True	False
LUV	Southwest Airlines	reports	Industrials	Airlines	Dallas, Texas	01.07.94	92380.0	1967	True	False	False
LVS	Las Vegas Sands	reports	Consumer Discretionary	Casinos & Gaming	Las Vegas, Nevada	03.10.19	1300514.0	1988	True	False	False
LW	Lamb Weston Holdings Inc	reports	Consumer Staples	Packaged Foods & Meats	Eagle, Idaho	03.12.18	1679273.0	1950	True	False	False
LYB	LyondellBasell	reports	Materials	Specialty Chemicals	Rotterdam, Netherlands	05.09.12	1489393.0	2007	True	False	False
LYV	Live Nation Entertainment	reports	Communication Services	Movies & Entertainment	Beverly Hills, California	23.12.19	1335258.0	2010	True	False	False
MA	Mastercard Inc.	reports	Information Technology	Data Processing & Outsourced Services	Harrison, New York	18.07.08	1141391.0	1966	True	False	False
MAA	Mid-America Apartments	reports	Real Estate	Residential REITs	Memphis, Tennessee	02.12.16	912595.0	1977	True	False	False
MAR	Marriott Int'l.	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Bethesda, Maryland		1048286.0	1927	True	True	False
MAS	Masco Corp.	reports	Industrials	Building Products	Livonia, Michigan	30.06.81	62996.0	1929	True	False	False
MCD	McDonald's Corp.	reports	Consumer Discretionary	Restaurants	Chicago, Illinois	30.06.70	63908.0	1940	True	False	True
MCHP	Microchip Technology	reports	Information Technology	Semiconductors	Chandler, Arizona	07.09.07	827054.0	1989	True	True	False
MCK	McKesson Corp.	reports	Health Care	Health Care Distributors	Irving, Texas		927653.0	1833	True	False	False
MCO	Moody's Corp	reports	Financials	Financial Exchanges & Data	New York, New York		1059556.0	1909	True	False	False
MDLZ	Mondelez International	reports	Consumer Staples	Packaged Foods & Meats	Chicago, Illinois	02.10.12	1103982.0	2012	True	True	False
MDT	Medtronic plc	reports	Health Care	Health Care Equipment	Dublin, Ireland	31.10.86	1613103.0	1949	True	False	False
MELI	MercadoLibre								False	True	False
MET	MetLife Inc.	reports	Financials	Life & Health Insurance	New York, New York		1099219.0	1868	True	False	False
MGM	MGM Resorts International	reports	Consumer Discretionary	Casinos & Gaming	Paradise, Nevada	26.07.17	789570.0	1986	True	False	False
MHK	Mohawk Industries	reports	Consumer Discretionary	Home Furnishings	Calhoun, Georgia	23.12.13	851968.0	1878	True	False	False
MKC	McCormick & Co.	reports	Consumer Staples	Packaged Foods & Meats	Hunt Valley, Maryland		63754.0	1889	True	False	False
MKTX	MarketAxess	reports	Financials	Financial Exchanges & Data	New York, New York	01.07.19	1278021.0	2000	True	False	False
MLM	Martin Marietta Materials	reports	Materials	Construction Materials	Raleigh, North Carolina	02.07.14	916076.0	1993	True	False	False
MMC	Marsh & McLennan	reports	Financials	Insurance Brokers	New York, New York	31.08.87	62709.0	1905	True	False	False
MMM	3M Company	reports	Industrials	Industrial Conglomerates	St. Paul, Minnesota	09.08.76	66740.0	1902	True	False	True
MNST	Monster Beverage	reports	Consumer Staples	Soft Drinks	Corona, California	28.06.12	865752.0	1935	True	True	False
MO	Altria Group Inc	reports	Consumer Staples	Tobacco	Richmond, Virginia	04.03.57	764180.0	1985	True	False	False
MOS	The Mosaic Company	reports	Materials	Fertilizers & Agricultural Chemicals	Tampa, Florida	26.09.11	1285785.0	1865	True	False	False
MPC	Marathon Petroleum	reports	Energy	Oil & Gas Refining & Marketing	Findlay, Ohio	01.07.11	1510295.0	1887	True	False	False
MRK	Merck & Co.	reports	Health Care	Pharmaceuticals	Kenilworth, New Jersey	04.03.57	310158.0	1891	True	False	True
MRNA	Moderna								False	True	False
MRO	Marathon Oil Corp.	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	01.05.91	101778.0	1887	True	False	False
MS	Morgan Stanley	reports	Financials	Investment Banking & Brokerage	New York, New York		895421.0	1935	True	False	False
MSCI	MSCI Inc	reports	Financials	Financial Exchanges & Data	New York, New York	04.04.18	1408198.0	1969	True	False	False
MSFT	Microsoft Corp.	reports	Information Technology	Systems Software	Redmond, Washington	01.06.94	789019.0	1975	True	True	True
MSI	Motorola Solutions Inc.	reports	Information Technology	Communications Equipment	Chicago, Illinois		68505.0	1928	True	False	False
MTB	M&T Bank Corp.	reports	Financials	Regional Banks	Buffalo, New York	23.02.04	36270.0	1856	True	False	False
MTD	Mettler Toledo	reports	Health Care	Life Sciences Tools & Services	Columbus, Ohio	06.09.16	1037646.0	1945	True	False	False
MU	Micron Technology	reports	Information Technology	Semiconductors	Boise, Idaho	27.09.94	723125.0	1978	True	True	False
MXIM	Maxim Integrated Products Inc	reports	Information Technology	Semiconductors	San Jose, California	03.12.18	743316.0	1983	True	True	False
MYL	Mylan N.V.	reports	Health Care	Pharmaceuticals	Amsterdam, Netherlands	23.04.04	1623613.0	1961	True	False	False
NBL	Noble Energy	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	08.10.07	72207.0	1932	True	False	False
NCLH	Norwegian Cruise Line Holdings	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	13.10.17	1513761.0	1966	True	False	False
NDAQ	Nasdaq, Inc.	reports	Financials	Financial Exchanges & Data	New York, New York	22.10.08	1120193.0		True	False	False
NEE	NextEra Energy	reports	Utilities	Multi-Utilities	Juno Beach, Florida	30.06.76	753308.0	1925	True	False	False
NEM	Newmont Corporation	reports	Materials	Gold	Denver, Colorado	30.06.69	1164727.0	1921	True	False	False
NFLX	Netflix Inc.	reports	Communication Services	Movies & Entertainment	Los Gatos, California	20.12.10	1065280.0	1997	True	True	False
NI	NiSource Inc.	reports	Utilities	Multi-Utilities	Merrillville, Indiana		1111711.0	1912	True	False	False
NKE	Nike, Inc.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Washington County, Oregon	30.11.88	320187.0	1964	True	False	True
NLOK	NortonLifeLock	reports	Information Technology	Application Software	Tempe, Arizona	25.03.03	849399.0	1982	True	False	False
NLSN	Nielsen Holdings	reports	Industrials	Research & Consulting Services	New York, New York	09.07.13	1492633.0	1923	True	False	False
NOC	Northrop Grumman	reports	Industrials	Aerospace & Defense	West Falls Church, Virginia	30.06.85	1133421.0	1939	True	False	False
NOV	National Oilwell Varco Inc.	reports	Energy	Oil & Gas Equipment & Services	Houston, Texas	14.03.05	1021860.0	1841	True	False	False
NOW	ServiceNow	reports	Information Technology	Systems Software	Santa Clara, California	21.11.19	1373715.0	2003	True	False	False
NRG	NRG Energy	reports	Utilities	Independent Power Producers & Energy Traders	Princeton, New Jersey	29.01.10	1013871.0	1992	True	False	False
NSC	Norfolk Southern Corp.	reports	Industrials	Railroads	Norfolk, Virginia	04.03.57	702165.0	1881	True	False	False
NTAP	NetApp	reports	Information Technology	Technology Hardware, Storage & Peripherals	Sunnyvale, California	25.06.99	1002047.0	1992	True	True	False
NTES	NetEase, Inc.								False	True	False
NTRS	Northern Trust Corp.	reports	Financials	Asset Management & Custody Banks	Chicago, Illinois		73124.0	1889	True	False	False
NUE	Nucor Corp.	reports	Materials	Steel	Charlotte, North Carolina	30.04.85	73309.0	1940	True	False	False
NVDA	Nvidia Corporation	reports	Information Technology	Semiconductors	Santa Clara, California	30.11.01	1045810.0	1993	True	True	False
NVR	NVR, Inc.	reports	Consumer Discretionary	Homebuilding	Reston, Virginia	26.09.19	906163.0	1980	True	False	False
NWL	Newell Brands	reports	Consumer Discretionary	Housewares & Specialties	Atlanta, Georgia	30.04.89	814453.0	1903	True	False	False
NWS	News Corp. Class B	reports	Communication Services	Publishing	New York, New York	18.09.15	1564708.0	1980	True	False	False
NWSA	News Corp. Class A	reports	Communication Services	Publishing	New York, New York	01.08.13	1564708.0	1980	True	False	False
NXPI	NXP Semiconductors N.V.								False	True	False
O	Realty Income Corporation	reports	Real Estate	Retail REITs	San Diego, California	07.04.15	726728.0	1969	True	False	False
ODFL	Old Dominion Freight Line	reports	Industrials	Trucking	Thomasville, North Carolina	09.12.19	878927.0	1934	True	False	False
OKE	ONEOK	reports	Energy	Oil & Gas Storage & Transportation	Tulsa, Oklahoma	15.03.10	1039684.0	1906	True	False	False
OMC	Omnicom Group	reports	Communication Services	Advertising	New York, New York		29989.0	1986	True	False	False
ORCL	Oracle Corp.	reports	Information Technology	Application Software	Redwood Shores, California	31.08.89	1341439.0	1977	True	False	False
ORLY	O'Reilly Automotive	reports	Consumer Discretionary	Specialty Stores	Springfield, Missouri	27.03.09	898173.0	1957	True	True	False
OTIS	Otis Worldwide	reports	Industrials	Industrial Machinery	Farmington, Connecticut	03.04.20	1781335.0	1853	True	False	False
OXY	Occidental Petroleum	reports	Energy	Oil & Gas Exploration & Production	Houston, Texas	31.12.82	797468.0	1920	True	False	False
PAYC	Paycom	reports	Information Technology	Application Software	Oklahoma City, Oklahoma	28.01.20	1590955.0	1998	True	False	False
PAYX	Paychex Inc.	reports	Information Technology	Data Processing & Outsourced Services	Penfield, New York		723531.0	1971	True	True	False
PBCT	People's United Financial	reports	Financials	Thrifts & Mortgage Finance	Bridgeport, Connecticut	13.11.08	1378946.0	1842	True	False	False
PCAR	PACCAR Inc.	reports	Industrials	Construction Machinery & Heavy Trucks	Bellevue, Washington	31.12.80	75362.0	1905	True	True	False
PEAK	Healthpeak Properties	reports	Real Estate	Health Care REITs	Long Beach, California	31.03.08	765880.0	1985	True	False	False
PEG	Public Service Enterprise Group (PSEG)	reports	Utilities	Electric Utilities	Newark, New Jersey	04.03.57	788784.0	1903	True	False	False
PEP	PepsiCo Inc.	reports	Consumer Staples	Soft Drinks	Purchase, New York	04.03.57	77476.0	1898	True	True	False
PFE	Pfizer Inc.	reports	Health Care	Pharmaceuticals	New York, New York	04.03.57	78003.0	1849	True	False	True
PFG	Principal Financial Group	reports	Financials	Life & Health Insurance	Des Moines, Iowa	22.07.02	1126328.0	1879	True	False	False
PG	Procter & Gamble	reports	Consumer Staples	Personal Products	Cincinnati, Ohio	04.03.57	80424.0	1837	True	False	True
PGR	Progressive Corp.	reports	Financials	Property & Casualty Insurance	Mayfield Village, Ohio	04.08.97	80661.0	1937	True	False	False
PH	Parker-Hannifin	reports	Industrials	Industrial Machinery	Cleveland, Ohio	30.11.85	76334.0	1917	True	False	False
PHM	PulteGroup	reports	Consumer Discretionary	Homebuilding	Atlanta, Georgia	30.04.84	822416.0	1956	True	False	False
PKG	Packaging Corporation of America	reports	Materials	Paper Packaging	Lake Forest, Illinois	26.07.17	75677.0	1959	True	False	False
PKI	PerkinElmer	reports	Health Care	Health Care Equipment	Waltham, Massachusetts	31.05.85	31791.0	1937	True	False	False
PLD	Prologis	reports	Real Estate	Industrial REITs	San Francisco, California	17.07.03	1045609.0	1983	True	False	False
PM	Philip Morris International	reports	Consumer Staples	Tobacco	New York, New York	31.03.08	1413329.0	1847	True	False	False
PNC	PNC Financial Services	reports	Financials	Regional Banks	Pittsburgh, Pennsylvania	30.04.88	713676.0	1845	True	False	False
PNR	Pentair plc	reports	Industrials	Industrial Machinery	Worsley, UK	01.10.12	77360.0	1966	True	False	False
PNW	Pinnacle West Capital	reports	Utilities	Multi-Utilities	Phoenix, Arizona		764622.0	1985	True	False	False
PPG	PPG Industries	reports	Materials	Specialty Chemicals	Pittsburgh, Pennsylvania	04.03.57	79879.0	1883	True	False	False
PPL	PPL Corp.	reports	Utilities	Electric Utilities	Allentown, Pennsylvania		922224.0	1920	True	False	False
PRGO	Perrigo	reports	Health Care	Pharmaceuticals	Dublin, Ireland	19.12.11	1585364.0	1887	True	False	False
PRU	Prudential Financial	reports	Financials	Life & Health Insurance	Newark, New Jersey	22.07.02	1137774.0	1875	True	False	False
PSA	Public Storage	reports	Real Estate	Specialized REITs	Glendale, California	19.08.05	1393311.0	1972	True	False	False
PSX	Phillips 66	reports	Energy	Oil & Gas Refining & Marketing	Houston, Texas	01.05.12	1534701.0	1917	True	False	False
PVH	PVH Corp.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	15.02.13	78239.0	1881	True	False	False
PWR	Quanta Services Inc.	reports	Industrials	Construction & Engineering	Houston, Texas	01.07.09	1050915.0	1997	True	False	False
PXD	Pioneer Natural Resources	reports	Energy	Oil & Gas Exploration & Production	Irving, Texas	24.09.08	1038357.0	1997	True	False	False
PYPL	PayPal	reports	Information Technology	Data Processing & Outsourced Services	San Jose, California	20.07.15	1633917.0	1998	True	True	False
QCOM	QUALCOMM Inc.	reports	Information Technology	Semiconductors	San Diego, California		804328.0	1985	True	True	False
QRVO	Qorvo	reports	Information Technology	Semiconductors	Greensboro, North Carolina	11.06.15	1604778.0	2015	True	False	False
RCL	Royal Caribbean Group	reports	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida	05.12.14	884887.0	1997	True	False	False
RE	Everest Re Group Ltd.	reports	Financials	Reinsurance	Hamilton, Bermuda	19.06.17	1095073.0	1973	True	False	False
REG	Regency Centers Corporation	reports	Real Estate	Retail REITs	Jacksonville, Florida	02.03.17	910606.0	1963	True	False	False
REGN	Regeneron Pharmaceuticals	reports	Health Care	Biotechnology	Tarrytown, New York	01.05.13	872589.0	1988	True	True	False
RF	Regions Financial Corp.	reports	Financials	Regional Banks	Birmingham, Alabama	28.08.98	1281761.0	1971	True	False	False
RHI	Robert Half International	reports	Industrials	Human Resource & Employment Services	Menlo Park, California	05.12.00	315213.0	1948	True	False	False
RJF	Raymond James Financial Inc.	reports	Financials	Investment Banking & Brokerage	St. Petersburg, Florida	20.03.17	720005.0	1962	True	False	False
RL	Ralph Lauren Corporation	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	02.02.07	1037038.0	1967	True	False	False
RMD	ResMed	reports	Health Care	Health Care Equipment	San Diego, California	26.07.17	943819.0	1989	True	False	False
ROK	Rockwell Automation Inc.	reports	Industrials	Electrical Components & Equipment	Milwaukee, Wisconsin		1024478.0	1903	True	False	False
ROL	Rollins Inc.	reports	Industrials	Environmental & Facilities Services	Atlanta, Georgia	01.10.18	84839.0	1948	True	False	False
ROP	Roper Technologies	reports	Industrials	Industrial Conglomerates	Sarasota, Florida	23.12.09	882835.0		True	False	False
ROST	Ross Stores	reports	Consumer Discretionary	Apparel Retail	Dublin, California	21.12.09	745732.0	1982	True	True	False
RSG	Republic Services Inc	reports	Industrials	Environmental & Facilities Services	Phoenix, Arizona	05.12.08	1060391.0	1981	True	False	False
RTX	Raytheon Technologies	reports	Industrials	Aerospace & Defense	Waltham, Massachusetts		101829.0	1922	True	False	True
SBAC	SBA Communications	reports	Real Estate	Specialized REITs	Boca Raton, Florida	01.09.17	1034054.0		True	False	False
SBUX	Starbucks Corp.	reports	Consumer Discretionary	Restaurants	Seattle, Washington		829224.0	1971	True	True	False
SCHW	Charles Schwab Corporation	reports	Financials	Investment Banking & Brokerage	San Francisco, California	02.06.97	316709.0	1971	True	False	False
SEE	Sealed Air	reports	Materials	Paper Packaging	Charlotte, North Carolina	04.03.57	1012100.0	1960	True	False	False
SGEN	Seattle Genetics								False	True	False
SHW	Sherwin-Williams	reports	Materials	Specialty Chemicals	Cleveland, Ohio	30.06.64	89800.0	1866	True	False	False
SIRI	Sirius XM Radio, Inc.								False	True	False
SIVB	SVB Financial	reports	Financials	Regional Banks	Santa Clara, California	19.03.18	719739.0	1983	True	False	False
SJM	JM Smucker	reports	Consumer Staples	Packaged Foods & Meats	Orrville, Ohio	06.11.08	91419.0	1897	True	False	False
SLB	Schlumberger Ltd.	reports	Energy	Oil & Gas Equipment & Services	Curaçao, Kingdom of the Netherlands	31.03.65	87347.0	1926	True	False	False
SLG	SL Green Realty	reports	Real Estate	Office REITs	New York, New York	20.03.15	1040971.0	1997	True	False	False
SNA	Snap-on	reports	Industrials	Industrial Machinery	Kenosha, Wisconsin	30.09.82	91440.0	1920	True	False	False
SNPS	Synopsys Inc.	reports	Information Technology	Application Software	Mountain View, California	16.03.17	883241.0	1986	True	True	False
SO	Southern Company	reports	Utilities	Electric Utilities	Atlanta, Georgia	04.03.57	92122.0	1945	True	False	False
SPG	Simon Property Group Inc	reports	Real Estate	Retail REITs	Indianapolis, Indiana	26.06.02	1063761.0	2003	True	False	False
SPGI	S&P Global, Inc.	reports	Financials	Financial Exchanges & Data	New York, New York		64040.0	1917	True	False	False
SPLK	Splunk								False	True	False
SRE	Sempra Energy	reports	Utilities	Multi-Utilities	San Diego, California		1032208.0	1998	True	False	False
STE	STERIS plc	reports	Health Care	Health Care Equipment	Dublin, Ireland	23.12.19	1757898.0	1985	True	False	False
STT	State Street Corp.	reports	Financials	Asset Management & Custody Banks	Boston, Massachusetts		93751.0	1792	True	False	False
STX	Seagate Technology	reports	Information Technology	Technology Hardware, Storage & Peripherals	Dublin, Ireland	02.07.12	1137789.0	1979	True	False	False
STZ	Constellation Brands	reports	Consumer Staples	Distillers & Vintners	Victor, New York	01.07.05	16918.0	1945	True	False	False
SWK	Stanley Black & Decker	reports	Industrials	Industrial Machinery	New Britain, Connecticut	30.09.82	93556.0	1843	True	False	False
SWKS	Skyworks Solutions	reports	Information Technology	Semiconductors	Woburn, Massachusetts	12.03.15	4127.0	2002	True	True	False
SYF	Synchrony Financial	reports	Financials	Consumer Finance	Stamford, Connecticut	18.11.15	1601712.0	2003	True	False	False
SYK	Stryker Corp.	reports	Health Care	Health Care Equipment	Kalamazoo, Michigan	12.12.00	310764.0	1941	True	False	False
SYY	Sysco Corp.	reports	Consumer Staples	Food Distributors	Houston, Texas	31.12.86	96021.0	1969	True	False	False
T	AT&T Inc.	reports	Communication Services	Integrated Telecommunication Services	Dallas, Texas	1983-11-30 (1957-03-04)	732717.0	1885	True	False	False
TAP	Molson Coors Beverage Company	reports	Consumer Staples	Brewers	Denver, Colorado	30.06.76	24545.0	2005	True	False	False
TCOM	Trip.com Group								False	True	False
TDG	TransDigm Group	reports	Industrials	Aerospace & Defense	Cleveland, Ohio	03.06.16	1260221.0	1993	True	False	False
TDY	Teledyne Technologies	reports	Industrials	Aerospace & Defense	Thousand Oaks, California	22.06.20	1094285.0	1960	True	False	False
TEL	TE Connectivity Ltd.	reports	Information Technology	Electronic Manufacturing Services	Schaffhausen, Switzerland	17.10.11	1385157.0	2007	True	False	False
TFC	Truist Financial	reports	Financials	Regional Banks	Charlotte, North Carolina	04.12.97	92230.0	1872	True	False	False
TFX	Teleflex	reports	Health Care	Health Care Equipment	Wayne, Pennsylvania	18.01.19	96943.0	1943	True	False	False
TGT	Target Corp.	reports	Consumer Discretionary	General Merchandise Stores	Minneapolis, Minnesota	31.12.76	27419.0	1902	True	False	False
TIF	Tiffany & Co.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York	21.06.00	98246.0	1837	True	False	False
TJX	TJX Companies Inc.	reports	Consumer Discretionary	Apparel Retail	Framingham, Massachusetts	30.09.85	109198.0	1987	True	False	False
TMO	Thermo Fisher Scientific	reports	Health Care	Life Sciences Tools & Services	Waltham, Massachusetts		97745.0	1902	True	False	False
TMUS	T-Mobile US	reports	Communication Services	Wireless Telecommunication Services	Bellevue, Washington	15.07.19	1283699.0	1994	True	True	False
TPR	Tapestry, Inc.	reports	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		1116132.0	2017	True	False	False
