Time	Group
22.15	ILEC
0	ILEC
2.82	ILEC
74.6	ILEC
4.38	ILEC
0	ILEC
3.38	ILEC
0	ILEC
0	ILEC
0	ILEC
4.03	ILEC
6.42	ILEC
0.12	ILEC
3.95	ILEC
15.98	ILEC
5.35	ILEC
74.92	ILEC
19.43	ILEC
0	ILEC
0	ILEC
4.4	ILEC
0	ILEC
0	ILEC
0	ILEC
20.93	ILEC
23.92	ILEC
21.38	ILEC
0	ILEC
14.4	ILEC
0.52	ILEC
19.45	ILEC
22.63	ILEC
0.47	ILEC
46.37	ILEC
24.25	ILEC
0	ILEC
35.57	ILEC
0	ILEC
1.52	ILEC
6.65	ILEC
16.18	ILEC
0.25	ILEC
19.28	ILEC
0	ILEC
14.3	ILEC
18.58	ILEC
23.68	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
0	ILEC
23.7	ILEC
25.42	ILEC
4.83	ILEC
3.6	ILEC
18.13	ILEC
26.62	CLEC
8.6	CLEC
0	CLEC
21.15	CLEC
8.33	CLEC
20.28	CLEC
96.32	CLEC
17.97	CLEC
3.42	CLEC
0.07	CLEC
24.38	CLEC
19.88	CLEC
14.33	CLEC
5.45	CLEC
5.4	CLEC
2.68	CLEC
0	CLEC
24.2	CLEC
22.13	CLEC
18.57	CLEC
20	CLEC
14.13	CLEC
5.8	CLEC
