Time	Location	Type_of_bomb	Damage	x	y
18:01	2a Kneller Road, Brockley, SE4, London, UK	IB	Middle room damaged	-0.037594	51.464609
18:01	3 Kneller Road, Brockley, SE4, London, UK	IB	Front room on 1st floor severely damaged	-0.037594	51.464609
18:01	Sutton Dweillings, Chilton Grove, Deptford, SE8, London, UK	IB	front room on 1st floor damaged. 	-0.325082	51.477995
18:01	Greenstead Road, Deptford SE8, London, UK	IB	IB burned out in street	-0.026878	51.479117
18:01	Well St, Hackney, E9, London, UK	IB	London Passenger Transport Board- An Omnibus Reg. No. EXV 246. Top deck severely damaged. Lower deck slightly damaged	-0.052974	51.545914
18:01	360 Stepney Way, E1, London, UK	IB	2x2 Roof damage	-0.052569	51.517155
18:01	10 Stepney High Street, E1, London, UK	IB	4x2 roof damage	-0.042625	51.517239
18:01	42 Stephney High Street E1, London, UK	IB	Timber shed, 30x10 (used as store) damaged	-0.12766	51.507351
18:01	Aylward Street London E1 OQW, London, UK	EB & IB	Minor fire damage in this area	-0.047719	51.515838
18:01	Westferry Road, Millwall, E14, London, UK	EB	Lead and Zinc Manufacturers. 40 x20 of wharfside and a 60x40 building, office and machine room, damaged	-0.024488	51.496497
18:02	Old Kent Road, SE1, London, UK	EB	Belonging to South Metropolitan Gas Works: 3, 000, 000 cubic feet of gas destroyed and a gas holder severely damaged. A range of buildings including work rooms, showrooms and offices damaged by fire.	-0.082816	51.491994
18:02	Devon Street, SE1, London, UK	EB	All buildings in this thoroughfare damaged by explosion	-0.12766	51.507351
18:02	3 Blackheath Vale, Blackheath SE3, London, UK	IB	Back room on 1st floor and contents damaged	-0.011103	51.468424
18:02	22 Blackheath Vale, Blackheath SE3, London, UK	IB	Groundfloor passage damaged. 	-0.011103	51.468424
18:02	48 Eglinton Hill, Plumstead, SE18, London, UK	EB	All private houses damaged	0.084298	51.489796
18:02	Brent Road, Plumstead, SE18, London, UK	EB	All private houses damaged	0.084298	51.489796
18:02	Trundley's Road, Deptford, SE16, London, UK	IB	9 privates houses damaged	-0.026878	51.479117
18:02	Milborne St, Hackney E9, London, UK	IB	Milbourne Piano Works, building of 3 floors, 30 x 20ft used as workrooms, offices and stores, about 14 x 1oft or roof damaged. Doors broken open. Ceiling and contents under by water	-0.052974	51.545914
18:02	"East India Dock Rd, London, UK
Poplar, Greater London E14, London, UK"	IB	2x1 paving damage	-0.077884	51.510816
18:02	Thomas Road E14, London, UK	IB	1x1 paving damage	-0.12766	51.507351
18:02	Manchester Road, Cubitt Town, E14, London, UK	EB	40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged	-0.008696	51.494675
18:02	Manchester Road, Cubitt Town, E14, London, UK	EB	40x 30 roadway damage. And Three houses each of 8 rooms and contents damaged	-0.008696	51.494675
18:03	Bolinn Road, Deptford, SE16, London, UK	IB	Shop and house of 6 rooms damaged by explosion. Also gas main fractured and about 30x20 of roadway damaged	-0.026878	51.479117
18:03	25, Upcott Street, SE15, London, UK	IB	Two private houses damaged by explosion	-0.12766	51.507351
18:03	26 Bushmoor Crescent, Plumstead, SE18, London, UK	EB	All private houses damaged	0.084298	51.489796
18:03	22 Matlock Street, Poplar, Greater London E14 7, London, UK	IB	front room on 1st floor and contents damaged	-0.103396	51.511185
18:03	Burdett Road, E3, London, UK	IB	2x1 paving damage	-0.184613	51.457931
18:03	Dudgeons Wharf, Manchester Road, Cubitt town, E14, London, UK	EB	40x10 brickworkand damaged	-0.018685	51.4896
18:03	Transporter Yard, East Ferry Road, Millwall, E14, London, UK	IB	20 Timber shed buildings each 10 x 6 ad 1 acre of undergrowth burned. 	-0.024488	51.496497
18:04	Riverway, Blackwall Lane, East Greenwich, SE10, London, UK	EB	40x30 roadway severely damged, gas main fractured, 20 private houses danaged	0.013744	51.484676
18:04	Riverway, Blackwall Lane, East Greenwich, SE10, London, UK	EB	40x30 roadway severely damged, gas main fractured, 20 private houses danaged	0.013744	51.484676
18:04	94-120, Riverway, Blackwall Lane, East Greenwich, SE10, London, UK	EB	40x30 roadway severely damged, gas main fractured, 20 private houses danaged	0.013744	51.484676
18:04	100-108 Riverway, Blackwall Lane, East Greenwich, SE10, London, UK	EB	40x30 roadway severely damged, gas main fractured, 20 private houses danaged	0.013744	51.484676
18:04	2 Hick Street, Rotherhithe, SE16, London, UK	IB	front room on ground floor damaged. 	-0.045149	51.505227
18:04	Priory Place, Well Street, Hackney E9, London, UK	IB	Front room on first floor and contents slightly damaged. 4 x 2ft of roof by breakage	-0.052974	51.545914
18:04	275 Bancroft Road, Tower Hamlets London E1, London, UK	IB	A3 block, about 6 x 4 ft of roof damaged. Ceiling and contents under slightly by water	-0.026482	51.526413
18:04	4 Ainsworth Road, Hackney, E2, London, UK	IB	House of 10 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of house and contents slightly damaged.	-0.052974	51.545914
18:04	North Woolwich Roads E, London, UK	IB	Dumb barge damaged	0.03057	51.502367
18:04	307 Stepney Way E1, London, UK	IB	Private house of 6 rooms, back rooms, 2nd 3rd floors damaged	-0.052569	51.517155
18:04	Glengall Grove, Millwall, E14, London, UK	IB & EB	Lancashire Freight Services Ltd. 1,2 and 3 floor buildings  covering 500x500 used as warehouses. Severely damaged	-0.024488	51.496497
18:05	Lewisham High Street, Se13, London, UK	EB	Southern Met. Electric, light and Power) 100x40 four floor building. Space used as showroom	-0.12766	51.507351
18:05	97 Ainsworth Road, Hackney E9, London, UK	IB	House of 12 rooms, front room on top floor and contents severely damaged. Part of roof off. Rest of building and contents slightly damaged.	-0.052974	51.545914
18:05	"Stebondale St, London, UK
Poplar, Greater London E14 3, London, UK"	IB	A house and a Grocery shop of 6 rooms and contents severly damges	0.049713	51.503685
18:05	"Bow Rd, London, UK
Poplar, Greater London E3, London, UK"	IB	St. Clement's Hospital. Mental observation home. 3x2 roof damage	-0.020715	51.528032
18:05	Old Gravel Lane, Wapping E1, London, UK	IB	Port of London Authority. 350x 120 one floor building, general warehouse, and contents severely damaged	-0.052596	51.506774
18:06	 Loampit Vale Lewisham, SE13, London, UK	EB	All builidings damaged	-0.012567	51.455849
18:06	Canon Wharf, Evelyn Street, Deptford,SE8, London, UK	IB	stack of timber and 100x100x30 damaged	-0.029887	51.475796
18:06	White Horse Rd, Tower Hamlets, London E1, UK, London, UK	EB & IB	Minor fire damage in this area	-0.040631	51.514308
18:07	Ruddigore Road, Newcross, SE14, No's 2-16 and 1-9 , London, UK	EB	13 private houses damaged by explosion	-0.040451	51.475426
18:07	12 St Austell Rd, Lewisham, Greater London SE13 7, London, UK	IB	Garage 20x15 Damaged with fencing	0.049713	51.503685
18:07	Morden Wharf Road, Greenwich SE10, London, UK	EB	Cement Marketing, range of buildings lost, 300x100 ft damaged. P.678 heavy unit damaged by shrapnel	-0.007492	51.480323
18:07	Tunnel Avenue, Greenwich, SE10, London, UK	EB & IB	Delta Metal Co. Ltd. 80x40 size offices and stores and contents. Roof off. 3 auxiliary firemen injured.	-0.007492	51.480323
18:07	215 Brockley Road, Forest Hill, SE23, London, UK	IB	2x1 roof damage	-0.053288	51.438796
18:07	110 Gosterwood Street, Deptford, SE8, London, UK	IB	9x6 roof damaged	-0.026878	51.479117
18:07	81 Plough Way, Rotherhithe SE16, London, UK	High Explosive Bomb	St. Barnabas National School & Minetts Saw Mills Ltd. Dining Room, Grocers and 17 private houses all damaged, 	-0.045149	51.505227
18:07	4 Ainsworth RD, Hackney, E9, London, UK	IB	Front rooms on 3rd floor and contents severely damaged. part of roof off, ceilings and contents under by water.	-0.052974	51.545914
18:07	Addington Road, Bow E3, London, UK	IB	About 6 x 4ft of roofing slightly damaged.	-0.068146	51.3404
18:07	86, Manchester Road, Cubitt Town E14, London, UK	EB	Caterer-A building of 3 floors about 40x 20 ft used as refreshment bar, swelling and store, upper part and contents damaged.	-0.008696	51.494675
18:07	9 Merchant Street Bow, E3, London, UK	IB	2x1 roof damage	-0.020715	51.528032
18:07	33 Merchant Street, Bow, E3, London, UK	IB	front room on 1st floor and contents damaged	-0.020715	51.528032
18:07	78 Merchant Street, Bow, E3, London, UK	IB	Back room on 1st floor damaged. 2x1 roof damage	-0.020715	51.528032
18:08	13 Bartram Road, Brockley, SE4, London, UK	IB	Back room on 1st floor and contents damaged	-0.037594	51.464609
18:08	11 Bartram Road, Brockley, SE4, London, UK	IB	Back room on 1st floor and contents damaged	-0.037594	51.464609
18:08	75 Chilton Grove,Deptford SE8, London, UK	IB	house of 8 rooms damaged	-0.026878	51.479117
18:08	Stepney Green, E1, London, UK	IB	1x1 tarmac damaged	-0.046632	51.518959
18:08	Stepney Causeway, Stepney, E1, London, UK	IB	Training Hostel. 4 floor building, top floors and basement severely damaged.	-0.039382	51.523695
18:08	 Latimer Street, Stepney, E1, London, UK	EB & IB	Minor fire damage in this area	-0.052569	51.517155
18:09	293, Tunnel Avenue, Greenwich SE10, London, UK	IB	Eastwood Wharfage Ltd. 300x100, warehouse and stores damged, most of roof off	-0.007492	51.480323
18:09	"Clemence St, London, UK
Poplar, Greater London E14 7, London, UK"	EB	Buidings at these addresses all damaged	0.049713	51.503685
18:09	Locksley St, Tower Hamlets, London E14 7EJ, London, UK	EB	Buidings at these addresses all damaged	-0.026482	51.526413
18:10	270 Ardgowan Road, Catford, SE6, 293 Torridon Road Catford SE6, London, UK	EB	Three private houses damaged 	-0.025584	51.443299
18:10	38a Stondon Park, Forest Hill, SE23, London, UK	IB	Front room on 1st floor severely damaged. One female burned on left arm	-0.053288	51.438796
18:10	Blackhorse Road, Deptford SE8, London, UK	IB	Weyland Tar Co. Quantity of Stock damaged	-0.026878	51.479117
18:10	209a, Mile End Road E1, London, UK	IB	Mantle and Costume Manufacturers-A building of 2 floors about 80x 30 ft used as workrooms, garage, office ad store. 1/2 of contents severely damaged. Part of roof off. rest of building and contents slightly damaged.	-0.0417	51.522569
18:10	15, Harford Street, Stepney E2, London, UK	IB	Boot and shoe Manufacturer- Shop and house of 8 rooms and contents severely damaged.	-0.038951	51.520501
18:10	35 Grantely Street, Mile End E1, London, UK	IB	A house of 8 rooms and contents severely damaged. Roof off	-0.0417	51.522569
18:10	Drawn Buildings, Adelina Grove, Stepney E1, London, UK	EB	A building of 5 floors about 100 x 80ft (used as model dwellings) about 1/4 and contents damaged. Rest of building and content slightly damaged.	-0.039382	51.523695
18:10	St Clement's Hostel, Bow Road E3, London, UK	IB	Building of 3 floors about 80x 60ft severely damaged. Roof by breakage	-0.020715	51.528032
18:10	28, Bow Road, Bow E3, London, UK	IB	Back room on 3rd floor and contents slightly damaged. Roof by breakage	-0.020715	51.528032
18:10	38 Cayley Street, E14, London, UK	IB	Back room on ground floor damaged. 	-0.12766	51.507351
18:10	Harford Street E1, London, UK	IB	1x1 tarmac damaged	-0.038951	51.520501
18:11	Gibbon Road, Camberwell, SE15, London, UK	EB	20x30 roadway damage	-0.094081	51.479005
18:11	733b, Old Kent Road, SE15, London, UK	EB	Submarine engineer shop, workshops, office and store all damaged. 	-0.082816	51.491994
18:11	735-737 Old Kent Road SE15, London, UK	EB	Two shops and two flats	-0.082816	51.491994
18:11	Buchan Road, Camberwell, SE15, London, UK	EB	Gas main fractured and about 30x20 of roadway damaged by explosion and fire	-0.094081	51.479005
18:11	Lewisham high Street SE13, London, UK	EB	Southern Rail. 40x20 brickwork on railway bridge damaged	-0.12766	51.507351
18:11	Lower Road, Rotherhithe, SE16, London, UK	IB	IB burned out in street. 	-0.338216	51.506477
18:11	A Yard, Millwall Dock E14, London, UK	IB	A warehouse of 1 floor about 150x 150 feet and contents severely damaged. Basement used as messrooms, dormitories, offices and store, and contents damaged	-0.024488	51.496497
18:11	84a, West Ferry Road, Millwall E14, London, UK	EB and IB	Timber Importers-A range of brick and corrugated iron shed buildings of one floor covering an area of 400x 200ft. About 1/2 of contents severely damaged	-0.024488	51.496497
18:12	Dunoon Road, Forest Hill, SE23, London, UK	EB	Owned by LewishamBC 12x8 Roadway damage	-0.053288	51.438796
18:12	Knoyle Street, New Cross, SE14, London, UK	EB	South Met. Gas. Mains Fractured	-0.040451	51.475426
18:12	Mornington Road, Bow E3, London, UK	IB	Incendiary bomb on road	-0.020715	51.528032
18:12	32, Devas Street, Poplar E14, London, UK	IB	House of 4 rooms, severely damaged	-0.017068	51.507693
18:12	45-47 Mile End Road, Stepney, E1, London, UK	EB	Garage. Two floor building severely damaged, roof off.	-0.0417	51.522569
18:12	"Spert St, London, UK
Tower Hamlets, London E14 8EB, London, UK"	EB	Paper Mills. 100x80 two floor building, severely damaged	-0.085493	51.504049
18:13	13 Bartham Road, Brockley, SE4, London, UK	IB	Back room on 1st floor and contents damaged	-0.037594	51.464609
18:13	Bow Road, Bow E3, London, UK	IB	St. Clement's. Old Nurses's Home, 80x20 two floor building, 3/4 damaged and roof off	-0.020715	51.528032
18:13	62 Ashton Street E14, London, UK	IB	House of 4 rooms, top floor and contents damaged	-0.12766	51.507351
18:13	Cottage Street, Poplar, E14, London, UK	IB	Number of IB burned out on road	-0.017068	51.507693
18:13	Commercial Rd, Poplar, Greater London E1, London, UK	EB	East End Mission Society. Building of one floor and and contents damaged	-0.017068	51.507693
18:14	51 Lewisham Hill, SE13, London, UK	EB	4 private houses of 20 rooms each and contents damaged.	-0.08013	51.432603
18:14	53 Lewisham Hill, SE13, London, UK	EB	4 private houses of 20 rooms each and contents damaged.	-0.08013	51.432603
18:14	55 Lewisham Hill, SE13, London, UK	EB	4 private houses of 20 rooms each and contents damaged.	-0.08013	51.432603
18:14	57 Lewisham Hill, SE13, London, UK	EB	4 private houses of 20 rooms each and contents damaged.	-0.08013	51.432603
18:14	Carlton Works, Glengall Grove, Millwall, E14, London, UK	IB & EB	Walter Voss and Co Manufacturing Chemists. 200x200 used as laboratories, store and contents severely damaged	-0.024488	51.496497
18:14	Carlton Works, Glengall Grove, Millwall, E14, London, UK	IB & EB	Speedy Metal Castings Ltd. 200x60  Machine Room, workshop and contents damaged	-0.024488	51.496497
18:15	309, New Cross Road, New Cross SE14, London, UK	IB	2x1 roof damage	-0.039086	51.475246
18:15	Woolwich Road, Charlton, SE10, London, UK	IB	G & H Harveys, Engineers, 3x2 roof damage in spinning room	0.046694	51.482797
18:15	72, Codrington Hill, Forest Hill, SE23, London, UK	IB	house of 5 rooms damaged. Roof blown off	-0.030112	51.44048
18:15	5 Stondon Park, Forest Hill, SE23, London, UK	IB	3x1 wooden fencing damaged,	-0.053288	51.438796
18:15	24 Codrington Hill, Forest Hill, SE23, London, UK	IB	Front room on 1st floor severely damaged	-0.030112	51.44048
18:15	14, Glaskin Mews E9, London, UK	IB	Front room on second floor and contents slightly damaged. 2 x 4 ft of roof by breakage	-0.069395	51.506527
18:15	North Side, Import Dock, West India Docks E14, London, UK	IB	"""C"" shed- about 60x60 ft or roof damaged"	0.060789	51.501055
18:15	Masters Street E1, London, UK	IB	1x1 tarmac damaged	-0.12766	51.507351
18:15	Tidey Street E14, London, UK	IB	1x1 tarmac damaged	-0.12766	51.507351
18:15	St Paul's Way, E3, London, UK	IB	1x1 tarmac damaged	-0.184613	51.457931
18:15	Raine Street, Tower Hamlets, London E1W, London, UK	EB	Minor fire damage in this area	-0.026482	51.526413
18:16	272 New Cross Road, SE15, London, UK	IB	2x2 roof damage	-0.039086	51.475246
18:16	Aston Street E14, London, UK	IB	1x1 feet of tarmac damaged	-0.038637	51.516303
18:16:00	West Ferry Road, Millwall E14, London, UK	eb	"About 30x30 feet of paving damaged and 4"" gas main fractured by explosion in yard"	-0.024488	51.496497
18:17	Stockholme Street, Rotherhithe, SE16, London, UK	Crude oil bomb	COB burnt out in enlosed ground	-0.045149	51.505227
18:17	Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK	EB and IB	Transport Contractors -A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.	-0.018685	51.4896
18:17	Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK	EB and IB	Engineers-A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.	-0.018685	51.4896
18:17	Samudas Wharf, Manchester Road, Cubitt Town, E14, London, UK	EB and IB	Stone Merchants-A range of buildings of 2 floors covering an area about 800x300f (used as machine rooms, workshops, offices and store) and contents and some stock in yard including a number of motor lorries severely damaged.	-0.018685	51.4896
18:17	Leven Street, Poplar, E14, London, UK	IB	Mills Cartwright and Reynolds. One floor back building 80x60 used a stockroom damaged	-0.017068	51.507693
18:17	St. Leonard's Wharf, Brunswick Road, Poplar E14, London, UK	IB	10x6 deck planking damaged by fire and a dissused corrugated iron  and timber shed slightly damaged. 100x60 oil store contents slightly damaged	-0.017068	51.507693
18:17	Narrow Street, Limehouse, E14, London, UK	IB	New Sun Wharf. Three floor building, 80x60 used as store. Severely damaged.	-0.036741	51.509633
18:18	45 Yatton street, Poplar, E14, London, UK	IB	Front room on 1st floor and contents damaged	-0.017068	51.507693
18:18	Commercial Rd, Poplar, Greater London E1, London, UK	EB	Minor fire damage in this area	-0.017068	51.507693
18:19	583, Commercial Road, Stepney E1, London, UK	IB	Methodist East End Mission. Building of 1 floor, balcony and basement about 100x 60ft, used as club rooms, billiard rooms, storeroom and lecture room. About 2/3 of content damaged.	-0.052569	51.517155
18:19	South Side Coal Wharf, Mile End Road E3, London, UK	IB	London and North Eastern railway. Railway truck and contents damaged	-0.0417	51.522569
18:19	Selsey Street E14, London, UK	IB	1x1 feet of paving damaged	-0.12766	51.507351
18:19	333/339, Mile End Road E1, London, UK	COB	C.W.S tailoring department-2 upper floors and contents damaged. 2x2 ft of roof breakage	-0.0417	51.522569
18:19	Mile End Road, E, London, UK	IB	Portuguese Jewish Cemetry 40 x 20 ft of grass burned	-0.0417	51.522569
18:19	Advance House, Talwin Street, Bromley E3, London, UK	IB	A building of 2 floors about 60 x 30 feet. First floor and contents slightly damaged.	0.018173	51.400176
18:19	94 St.Leonard's Road, Poplar, E14, London, UK	IB	Front room on 1st floor and contents damaged, roof part off	-0.017068	51.507693
18:19	Tooke Street, Millwall E14, London, UK	EB	30x 30 roadway damaged. 11 Private houses  and one shop damaged	-0.024488	51.496497
18:19	11 Tooke Street, Millwall E14, London, UK	EB	30x 30 roadway damaged. 11 Private houses  and one shop damaged	-0.024488	51.496497
18:20	St Leonards Road, Poplar, E14, London, UK	IB	A number of IB bombs burned out on road	-0.017068	51.507693
18:20	Import Dock, East India Docks, Poplar E14, London, UK	IB	Part of London Authority- A builing of 2 floors about 100 x 50 ft and contents including hydraulic crane and electric meter cupboard severely damaged. Building used as a hydraulic pressure house slightly damaged. Doors and window glass by breakage. Building of one floor 40 x 30ft about 4/5 severely damaged. Most part of roof damaged.	0.060789	51.501055
18:21	St Leonard's Road, Poplar E14, London, UK	IB	Joinery and moulding manufacturer- A building of one floor about 80 x 40ft used as moulding manufacturers and contents slightly damaged. Window glass by breakage, part of roof off. A building of 2 floors about 30 x 20 ft and contents severely damaged.	-0.017068	51.507693
18:21	Eastern Dock, 10 Warehouse, London Dock, E1, London, UK	EB	Port of London Authority. Range of buildings all 1-6 floors, used as warehouse and stores.	0.145329	51.526228
18:22	St. James' Church, St. James'  Road, Newcross, SE14, London, UK	IB	3x2 rood damage	-0.069	51.515608
18:23	Commercial Road, Stepney  E1, London, UK	EB	Minor fire damage in this area	-0.052569	51.517155
18:24	122 Lewisham High Street, Lewisham SE13, London, UK	-	4x2 roof damage and 2x2 flooring damage	-0.012567	51.455849
18:24	Dundee Wharf, Limehouse, E14, London, UK	EB	Company name:Wharfage- A building of two floors about 200 x 100ft severely damaged. 9 motor vehicles damaged	-0.039625	51.512637
18:24	566, Cable Street , Stepney E1, London, UK	EB	Confectionery and Fancy goods- Range of buildings of one, two and three floors. ( nused as workrooms, showrooms, offices and stores) about 2?3 severely damaged.	-0.052569	51.517155
18:24	24, Maria Street, Millwall E14, London, UK	EB	8 Houses, 6 rooms each, severely damaged	-0.024488	51.496497
18:24	52 Malabar Street, Millwall, E14, London, UK	EB	Remaining houses are also damaged	-0.024488	51.496497
18:25	733, Old Kent Road, SE15, London, UK	EB	Shop and house of 6 rooms  damaged	-0.082816	51.491994
18:25	"Morant St, London, UK
Poplar, Greater London E14, London, UK"	EB	Poplar Borough Council- 20 x 10ft of roadway and paving damaged. Many houses in this thoroughfare damaged	-0.077884	51.510816
18:25	Harford Street, Stepney, E1, London, UK	IB	A building of 2 floors about 60 x 40 feet( used as licensed premises, dwelling and store). Top floor and contents severely damaged by fire and part of roof off.	-0.038951	51.520501
18:26	13 Laurie Grove, Deptford, SE14, London, UK	IB	3x2 roof damage	-0.026878	51.479117
18:27	131 Pepy's Road, Newcross, SE14, London, UK	IB	3x2 roof damage	-0.044538	51.470237
18:27	129 Pepy's Road, Newcross, SE14, London, UK	IB	3x2 roof damage	-0.044538	51.470237
18:27	123 Pepy's Road, Newcross, SE14, London, UK	IB	2x1 roof damage	-0.044538	51.470237
18:27	97 Pepy's Road, Newcross, SE14, London, UK	IB	1x1 roof damage	-0.044538	51.470237
18:27	23 Pepy's Road, Newcross, SE14, London, UK	IB	3x2 roof damage	-0.044538	51.470237
18:27	91 Pepy's Road, Newcross, SE14, London, UK	IB	3x2 roof damage	-0.044538	51.470237
18:27	53 Stewart Road, Nunhead, SE15, London, UK	-	IB unginited	-0.052677	51.466898
18:27	poplar Docks, Preston Road, Poplar, E14, London, UK	EB	60x60 railway track damaged.15 acre 4 floor builing including vehicles in yard and machinery all damaged.	-0.024794	51.510625
18:28	21 Pepy's Road, Newcross, SE14, London, UK	IB	2x1 roof damage	-0.044538	51.470237
18:28	29 Pepy's Road, Newcross, SE14, London, UK	IB	House of eight rooms, back room on groung floor and contents damaged by fire	-0.044538	51.470237
18:28	Newcross Gate, Newcross, SE14, London, UK	IB	London Passenger Transport board, building of on e floor about 300 x100 used as tramcar shed and 6x4 of roof and two tramcars slightly damaged by fire. 	-0.040451	51.475426
18:28	104 Skidmore street. Stepney, E1, London, UK	IB	House of 5 rooms about 1/2 and contents severely damaged. Part of roof off. rest of house and contents slightly damaged.	-0.052569	51.517155
18:29	Deptford Church Street, SE8, London, UK	IB	IB burned out in street. 	-0.12766	51.507351
18:29	Coutts Rd E.3, London, UK	IB	1 x 1ft of tarmac damaged in street	-0.184613	51.457931
18:29	North Quay, West, India Docks, E14, London, UK	EB & IB	Range of warehouses covering 2000x120 severely damaged	0.022269	51.502922
18:30	24 Lewisham Way, Lewisham SE, London, UK	IB	house of 14 rooms, most of roof and top floor damaged	-0.012567	51.455849
18:30	87 Foxberry Road, Brockley, SE4, London, UK	IB	Middle room damaged	-0.037594	51.464609
18:30	8 Sevenoaks Road Crofton Park, SE4, London, UK	IB	Front room on 1st floor severely damaged	0.112442	51.344687
18:30	2-8 Odessa Street, Rotherhithe Street Se16, London, UK	IB	   Timber Yard, Granary, Offices and Lighterman all slightly damaged	-0.12766	51.507351
18:30	2-119 Elgar Street, Rotherhithe, SE16, London, UK	EB	Many buildings in this thoroughfare damage	-0.045149	51.505227
18:30	591, Commercial Road, Stepney E1, London, UK	EB	Zenith Motor Works-A building of 2 floors and contents severely damaged.	-0.052569	51.517155
18:30	91 Shandy Street, Stepney, E1, London, UK	IB	House of 6 rooms and contents severely damaged	-0.041556	51.520686
18:30	83 Ernest Street, Stepney, E1, London, UK	IB	House of 8 rooms and contents severely damaged	-0.04214	51.52156
18:30	61 Ernest Street, Stepney E1, London, UK	IB	House of 8 rooms and contents severely damaged. Roof off, front toom on 1st floor damaged	-0.04214	51.52156
18:30	15 Shandy Street, E1, London, UK	IB	House of 6 rooms and contents severely damaged. Front room on 1st floor severely damaged	-0.041556	51.520686
18:30	112 Harford Street, Stepney E1, London, UK	IB	House of 6 rooms and contents severely damaged	-0.038951	51.520501
18:30	66 Shandy Street, Stepney E1, London, UK	IB	House of 6 rooms and contents severely damaged. Top floor and contents damaged	-0.041556	51.520686
18:30	St. John's  Church, Woodman Street, North Woolwich, E16, London, UK	IB	Ecclesiastical Commissioners, One floor 100x 60, used as church and contents severely damaged.	-0.114787	51.586246
18:31	4 Brandham Road, Lee SE12, London, UK	EB 	Private house damaged 12 rooms	0.015092	51.449642
18:31	2 Brandham Road Lee SE12, London, UK	EB	Building and contents 80x40 used a garage severely damaged	0.015092	51.449642
18:31	1 Brandham Road Lee SE12, London, UK	EB	house of 13 rooms damaged	0.015092	51.449642
18:32	Dowanhill Road, Catford, SE6, London, UK	-	2x2 roadway damage	-0.025584	51.443299
18:32	Berger Hall Empson Street, Bromley-by-Bow E3, London, UK	-	Alarm caused by people trapped in air raid shelter, first aid redered by the Brigade, all persons accounted for	-0.184613	51.457931
18:32	31, 33, and 35, Venue St, Poplar E14 , London, UK	EB	Three private houses of 6 rooms each and contents severely damaged	-0.017068	51.507693
18:32	Venue Street, Tower Hamlets, London E14 6QA, London, UK	EB	23 buildings damaged. 6 persons severely injured	-0.026482	51.526413
18:33	7 Birkhall Road, Catford SE6, London, UK	-	unexploded bomb on enclosed ground at rear of premises	-0.025584	51.443299
18:33	403-405 East India Dock Road, Poplar E14, London, UK	EB and IB	2 private houses of 8 rooms and contents severely damaged. Collapsed and fallen down.	-0.017068	51.507693
18:34	Shandy Street, E.1, London, UK	IB	1 x1 ft of tarmac destroyed	-0.041556	51.520686
18:35	Blackheath SE10, London, UK	IB	20x10 feet of GRASS burned on heath	0.008471	51.465742
18:35	Blackheath Hill, Blackheath Se10, London, UK	EB	South Met Gas Company: Gas destroyed and carriage way	-0.011103	51.468424
18:36	7 Braywood Road, Eltham SE9, London, UK	-	explosive bomb (unexploded) Yard damged.	0.052228	51.455597
18:36	Mile End RD E, London, UK	IB	2x2 ft of roof dmamged	-0.0417	51.522569
18:36	Narrow Street, Stepney E1, London, UK	IB	A building of 4 floors about 80x 60 ft of which 1/2 of and contents severely damaged	-0.036741	51.509633
18:37	Ormside Street, Camberwell, SE15, London, UK	IB	Building of 3 floors 60x60, owned by Durling, West and Durling Ltd. Severley damaged. 	-0.094081	51.479005
18:37	65 Drakefell Road, Brokeley, SE4, London, UK	IB	Front room on 1st floor severely damaged	-0.27969	51.586884
18:37	Sheridan Street Stepney E1, London, UK	EB and IB	Minor fire and explosion damage	-0.052569	51.517155
18:39	Shadwell Lane, Stepney E1, London, UK	IB	Part of top floor of flats Nos. 51-75 and 70-75, severely damaged	-0.052569	51.517155
18:40	63 Cressingham Road, Lewisham, SE13, London, UK	IB	Private house damaged	-0.257969	51.607831
18:40	64 Wickham Road, Brockley, SE4, London, UK	IB	Back room on 1st floor and contents damaged	-0.037594	51.464609
18:40	24 Oldfield Road, Rotherhithe, SE16, London, UK	Eb	6 houses damaged and fallen down	-0.045149	51.505227
18:40	13 Pedro St, Clapton E5, London, UK	IB	6 x 4ft of roof and joisting damaged in scullery on ground floor	-0.056818	51.561645
18:40	St Leonard's Avenue, Poplar E14, London, UK	IB	A number of IB bombs burned out on road	-0.311257	51.586112
18:40	 Millwall Recreation Ground, E14, London, UK	EB	30x30 asphalt pavement damage	-0.325882	51.594058
18:40	Globe Rope Works, East Ferry Road, , Millwall E14, London, UK	EB	200x30 building with machiner room and contents damaged	-0.024488	51.496497
18:40	A Yard Millwall Docks, E14, London, UK	EB & IB	Port of London Authority. No, 4, 4a and 5 warehouses, each of two floors and 400x60 damaged with contents.	0.060789	51.501055
18:41	Cantrell Road, E3, London, UK	IB	1 x 1 ft of tarmac slightly damaged	-0.184613	51.457931
18:42	Yeoman Street, Deptford SE8, London, UK	Crude oil bomb	20x10 roadways damage	-0.026878	51.479117
18:43	31 Preston Street, Bethnal Green, E2, London, UK	IB	Front room on 1st floor and contents damaged, roof part off (4x3)	-0.064283	51.532296
